Date,Shopping Event?,Ad Spend,Page Views,Unit Price,Sold Units,Revenue,Operational Cost,Profit
2021-01-01,False,1377.8513287296892,11774,1000.0,2414,2414000.0,1708389.017038101,705610.9829618989
2021-01-02,False,1210.6377126978266,11774,1000.0,2411,2411000.0,1706733.7977247848,704266.2022752152
2021-01-03,False,1407.7476147476707,11747,1000.0,2343,2343000.0,1672915.6070881712,670084.3929118288
2021-01-04,False,1240.6739185992176,11634,1000.0,2284,2284000.0,1643245.3180278433,640754.6819721567
2021-01-05,False,1393.857568505717,11703,1000.0,2345,2345000.0,1673902.1169747668,671097.8830252332
2021-01-06,False,1316.6772621900914,11831,1000.0,2385,2385000.0,1693828.6145759495,691171.3854240505
2021-01-07,False,1480.2433641964794,11756,1000.0,2330,2330000.0,1666482.3420475926,663517.6579524074
2021-01-08,False,1153.1332237973884,11599,1000.0,2323,2323000.0,1662658.4840679485,660341.5159320515
2021-01-09,False,1132.8652075157152,11570,1000.0,2321,2321000.0,1661646.0871063666,659353.9128936334
2021-01-10,False,1348.7780000241964,11797,1000.0,2393,2393000.0,1697857.1369791478,695142.8630208522
2021-01-11,False,1110.966119273742,11748,1000.0,2325,2325000.0,1663612.842284874,661387.1577151259
2021-01-12,False,1189.2327553410573,11718,1000.0,2390,2390000.0,1696200.711636614,693799.288363386
2021-01-13,False,1369.7893696480887,11715,1000.0,2362,2362000.0,1682386.9888530727,679613.0111469273
2021-01-14,False,1247.399194092824,11803,1000.0,2387,2387000.0,1694752.5262995125,692247.4737004875
2021-01-15,False,1211.4141120644467,11538,1000.0,2311,2311000.0,1656720.8149092654,654279.1850907346
2021-01-16,False,1218.8558530577443,11728,1000.0,2393,2393000.0,1697736.3632265641,695263.6367734359
2021-01-17,False,1367.4261818803877,11664,1000.0,2373,2373000.0,1687871.8320290542,685128.1679709458
2021-01-18,False,1318.7654052966486,11600,1000.0,2369,2369000.0,1685827.6359956556,683172.3640043444
2021-01-19,False,1469.1193744469088,11963,1000.0,2385,2385000.0,1693975.1993397195,691024.8006602805
2021-01-20,False,1312.5752791324885,11737,1000.0,2348,2348000.0,1675319.385799097,672680.6142009031
2021-01-21,False,1324.366677821395,11687,1000.0,2224,2224000.0,1613327.9357367312,610672.0642632688
2021-01-22,False,1276.940838163783,11640,1000.0,2427,2427000.0,1714781.0049752393,712218.9950247607
2021-01-23,False,1422.9578558943927,11755,1000.0,2378,2378000.0,1690437.293444255,687562.7065557451
2021-01-24,False,1150.908632698955,11700,1000.0,2472,2472000.0,1737161.0119875737,734838.9880124263
2021-01-25,False,1424.3545600618395,11653,1000.0,2402,2402000.0,1702438.7407596095,699561.2592403905
2021-01-26,False,1448.441095968044,11645,1000.0,2288,2288000.0,1645459.1900786422,642540.8099213578
2021-01-27,False,1425.897897543961,11660,1000.0,2308,2308000.0,1655427.2634579677,652572.7365420323
2021-01-28,False,1469.79436207473,12050,1000.0,2320,2320000.0,1661490.3251619623,658509.6748380377
2021-01-29,False,1354.8520235617193,11899,1000.0,2297,2297000.0,1649861.0972502045,647138.9027497955
2021-01-30,False,1322.5845804461576,12046,1000.0,2373,2373000.0,1687822.9384890776,685177.0615109224
2021-01-31,False,1254.2366134162394,11611,1000.0,2295,2295000.0,1648771.8115088942,646228.1884911058
2021-02-01,False,1420.254177931807,11906,1000.0,2436,2436000.0,1719436.3274518691,716563.6725481309
2021-02-02,False,1482.3026814760042,11774,1000.0,2356,2356000.0,1679483.3175262527,676516.6824737473
2021-02-03,False,1454.6547214885286,11904,1000.0,2448,2448000.0,1725461.1877368407,722538.8122631593
2021-02-04,False,1469.5427056293115,11888,1000.0,2432,2432000.0,1717480.9638601842,714519.0361398158
2021-02-05,False,1445.6881521600487,11951,1000.0,2387,2387000.0,1694948.0287109795,692051.9712890205
2021-02-06,False,1333.341093152526,11702,1000.0,2323,2323000.0,1662841.439546451,660158.560453549
2021-02-07,False,1461.3732985754402,11793,1000.0,2402,2402000.0,1702468.8376395707,699531.1623604293
2021-02-08,False,1182.5358048656756,11640,1000.0,2270,2270000.0,1636186.1375144818,633813.8624855182
2021-02-09,False,1392.2738115483357,11764,1000.0,2310,2310000.0,1656407.541842815,653592.458157185
2021-02-10,False,1341.822672136569,11739,1000.0,2286,2286000.0,1644344.6391375335,641655.3608624665
2021-02-11,False,1297.9822964171617,11611,1000.0,2346,2346000.0,1674301.8574747967,671698.1425252033
2021-02-12,False,1454.8987233079145,11735,1000.0,2351,2351000.0,1676955.642333958,674044.3576660419
2021-02-13,False,1101.8351911847788,11668,1000.0,2367,2367000.0,1684613.3966137927,682386.6033862073
